TP,TM_FC,SEQ,TM_EQK,MSC,MT,LAT,LON,LOC,INT,REM,COR
1,200401230535,4,20040123052708.006,2.0,35.4000,128.0000,경남 산청 동쪽 약 10km 지역,무감,- 진주기상대, 산청기상관측소에 확인결과 무감임.,
3,200401292030,5,20040129202224.003,2.4,35.9000,128.5000,대구광역시 북서쪽 약 10km 지역,진도  III : 대구,- 지금까지 조사된 바에 의하면 이 지진으로 인하여 대구지역에서 건물이 흔들리는 정도의 진동을 느꼈음.,,=
1,200402060000,6,20040206073032.002,2.3,37.6000,126.0000,경기 강화 남서쪽 약 50km 해역,무감,- 인천기상대에 확인 결과 무감임.,,=
1,200402260000,7,20040226055115.003,2.1,37.2000,128.9000,강원 태백 북서쪽 약 10km 지역,무감,- 영월기상대에 확인 결과 무감임.,,=
1,200403070000,8,20040307205805.006,2.9,35.8000,125.4000,전남 영광군 서북서쪽 약 100km 해역,무감,- 목포기상대, 군산기상대 및 서산기상대에 확인 결과 무감임.,
1,200404021220,9,20040402120404.005,2.9,39.4000,126.0000,평안남도 평양시  북북동쪽 약 50km 지역,무감,- 북한지역으로 유감확인 불가,,=
1,200404152350,10,20040415232542.005,2.0,34.9000,124.6000,전남 흑산도 서북서쪽 약 80km 해역,무감,- 흑산도기상대에 문의결과 무감임,,=
3,200404261400,11,20040426132918.007,3.5,35.8000,128.2000,대구광역시 서남서쪽 약 40km 해역,,- 지금까지 조사된 바에 의하면 이 지진으로 인하여 대구, 구미지역을 비롯한 경상도 일원에서 창문이 흔들리즌 정도의 진동을 느꼈음.,
3,200404261400,11,20040426132925.002,3.9,35.8000,128.2000,대구광역시 서남서쪽 약 40km 해역,,- 지금까지 조사된 바에 의하면 이 지진으로 인하여 대구, 구미지역을 비롯한 경상도 일원에서 창문이 흔들리는 정도의 진동을 느꼈음.,
1,200404291740,12,20040429173113.004,2.9,37.4000,123.8000,인천광역시 백령도 남서쪽 약 100km 해역,,- 백령도기상대에 문의한 결과 무감임.,,=
3,200404302350,13,20040430234356.004,2.8,35.8000,129.4000,경북 경주 동쪽 약 20km 지역,진도 II : 경주, 울산,,
3,200404302350,13,20040430234356.004,2.8,35.8000,129.4000,경북 경주 동쪽 약 20km 지역,진도 II : 경주, 울산,지금까지 조사된 바에 의하면 이 지진으로 인하여 경주와 울산지역에서 지진동을 느꼈음.,
2,200405050115,14,20040505010756.003,2.2,33.4000,127.3000,제주 성산 동쪽 약 40km 해역,무감,제주(청), 서귀포기상대에 문의 결과 무감임.,
1,200405050115,14,20040505010756.003,2.2,33.4000,127.3000,제주 성산 동쪽 약 40km 해역,무감,제주(청), 서귀포기상대에 문의 결과 무감임.,
1,200405050220,15,20040505021535.007,2.2,33.4000,127.3000,제주 성산 동쪽 약 40km 해역,무감,제주(청), 서귀포기상대에 문의 결과 무감임.,
1,200405051230,16,20040505122232.009,3.1,32.7000,126.0000,제주 서귀포시 남남서쪽 약 120km 해역,무감,제주(청), 서귀포기상대에 문의 결과 무감임.,
1,200405062320,17,20040506231011.009,2.0,37.5000,129.9000,강원도 삼척시 동쪽 약 65km 해역,무감,속도, 울릉도, 동해 기상대에 문의 결과 무감임.
1,200405171505,18,20040517150542.003,2.1,36.4000,125.9000,충남 서산시 남서쪽 약 60km 해역,무감,서산, 군산, 흑산도 기상대에 문의 결과 무감임.
1,200405250000,19,20040525180811.006,2.7,39.5000,124.9000,평안북도 신의주 남동쪽 약 75km 해역,무감,북한지역으로 확인할수 없음.,,=
3,200405291935,20,20040529191424.000,5.2,36.8000,130.2000,경북 울진 동쪽 약80km 해역,진도 V : 경북 울진\n진도 IV : 삼척, 태백, 안동, 의성
3,200405291935,20,20040529191424.000,5.2,36.8000,130.2000,경북 울진 동쪽 약80km 해역,진도 V : 경북 울진\n진도 IV : 삼척, 태백, 안동, 의성
1,200405300000,21,20040530044540.005,2.0,36.6000,130.0000,경북 울진 남동쪽 약 70km 해역,무감,울진기상대 확인 결과 무감임.,,=
